time,arm,observable,value,dose_phage_pfu
0.0,control,cfu,5117153.232074179,0.0
2.0,control,cfu,29575201.837200608,0.0
4.0,control,cfu,113854203.53511049,0.0
6.0,control,cfu,107047644.91733369,0.0
8.0,control,cfu,95133997.98999617,0.0
10.0,control,cfu,112232052.0084808,0.0
12.0,control,cfu,133508618.70869045,0.0
14.0,control,cfu,125013172.37649857,0.0
16.0,control,cfu,92233880.36735496,0.0
18.0,control,cfu,83167870.4619176,0.0
20.0,control,cfu,93611098.60135697,0.0
22.0,control,cfu,105802365.44499026,0.0
24.0,control,cfu,68420593.50592546,0.0
0.0,control,od,0.024749371540551308,0.0
2.0,control,od,0.14306977416599187,0.0
4.0,control,od,0.4891475861995851,0.0
6.0,control,od,0.5119999663392296,0.0
8.0,control,od,0.5174081906032637,0.0
10.0,control,od,0.5350469763691446,0.0
12.0,control,od,0.5508198350021005,0.0
14.0,control,od,0.5219015782100844,0.0
16.0,control,od,0.5590988163346664,0.0
18.0,control,od,0.5091613272836858,0.0
20.0,control,od,0.5335676674549923,0.0
22.0,control,od,0.5473041068924753,0.0
24.0,control,od,0.527277876202063,0.0
0.0,1e+03 PFU,cfu,4360035.891737535,1000.0
2.0,1e+03 PFU,cfu,25569732.182742596,1000.0
4.0,1e+03 PFU,cfu,80764206.82461591,1000.0
6.0,1e+03 PFU,cfu,4498.138519804827,1000.0
8.0,1e+03 PFU,cfu,16047.192091936307,1000.0
10.0,1e+03 PFU,cfu,85746.30536757724,1000.0
12.0,1e+03 PFU,cfu,398354.15489894047,1000.0
14.0,1e+03 PFU,cfu,2070041.9365723096,1000.0
16.0,1e+03 PFU,cfu,8584461.22137978,1000.0
18.0,1e+03 PFU,cfu,32231484.868920494,1000.0
20.0,1e+03 PFU,cfu,46616747.68963729,1000.0
22.0,1e+03 PFU,cfu,52842879.87108719,1000.0
24.0,1e+03 PFU,cfu,62554319.85907789,1000.0
0.0,1e+03 PFU,od,0.026779880305802615,1000.0
2.0,1e+03 PFU,od,0.14297360089412878,1000.0
4.0,1e+03 PFU,od,0.4840954655659354,1000.0
6.0,1e+03 PFU,od,0.10644808133432311,1000.0
8.0,1e+03 PFU,od,0.10174083552688241,1000.0
10.0,1e+03 PFU,od,0.09773571632954571,1000.0
12.0,1e+03 PFU,od,0.09487356301811681,1000.0
14.0,1e+03 PFU,od,0.10877097033205431,1000.0
16.0,1e+03 PFU,od,0.14421703520290877,1000.0
18.0,1e+03 PFU,od,0.26039630852113466,1000.0
20.0,1e+03 PFU,od,0.37172241535419265,1000.0
22.0,1e+03 PFU,od,0.36174277534594856,1000.0
24.0,1e+03 PFU,od,0.3350899145046012,1000.0
0.0,1e+03 PFU,pfu,999.1798548610634,1000.0
2.0,1e+03 PFU,pfu,55091.32437953716,1000.0
4.0,1e+03 PFU,pfu,431318877.74734926,1000.0
6.0,1e+03 PFU,pfu,5360269450.546165,1000.0
8.0,1e+03 PFU,pfu,5394690266.493524,1000.0
10.0,1e+03 PFU,pfu,5665794744.956687,1000.0
12.0,1e+03 PFU,pfu,4007264250.517179,1000.0
14.0,1e+03 PFU,pfu,4412058006.393666,1000.0
16.0,1e+03 PFU,pfu,4598991422.418823,1000.0
18.0,1e+03 PFU,pfu,4017845815.539764,1000.0
20.0,1e+03 PFU,pfu,6866364426.48563,1000.0
22.0,1e+03 PFU,pfu,4548880846.601924,1000.0
24.0,1e+03 PFU,pfu,5295353893.214276,1000.0
0.0,1e+05 PFU,cfu,4767428.635103889,100000.0
2.0,1e+05 PFU,cfu,40261972.1534412,100000.0
4.0,1e+05 PFU,cfu,3487202.874881993,100000.0
6.0,1e+05 PFU,cfu,8677.18014150776,100000.0
8.0,1e+05 PFU,cfu,27389.75019036447,100000.0
10.0,1e+05 PFU,cfu,220765.30374889984,100000.0
12.0,1e+05 PFU,cfu,1315129.5865894526,100000.0
14.0,1e+05 PFU,cfu,7269820.215341741,100000.0
16.0,1e+05 PFU,cfu,25350405.462635648,100000.0
18.0,1e+05 PFU,cfu,95596679.45940116,100000.0
20.0,1e+05 PFU,cfu,55877534.150238946,100000.0
22.0,1e+05 PFU,cfu,63098936.06260077,100000.0
24.0,1e+05 PFU,cfu,84673699.28431933,100000.0
0.0,1e+05 PFU,od,0.025056540050580143,100000.0
2.0,1e+05 PFU,od,0.16501778104294945,100000.0
4.0,1e+05 PFU,od,0.07870010438848479,100000.0
6.0,1e+05 PFU,od,0.06390422277301344,100000.0
8.0,1e+05 PFU,od,0.0635453691287344,100000.0
10.0,1e+05 PFU,od,0.061121640515990866,100000.0
12.0,1e+05 PFU,od,0.06385474788972309,100000.0
14.0,1e+05 PFU,od,0.0935907060628941,100000.0
16.0,1e+05 PFU,od,0.20699788113878084,100000.0
18.0,1e+05 PFU,od,0.42459964115374865,100000.0
20.0,1e+05 PFU,od,0.3993649334826265,100000.0
22.0,1e+05 PFU,od,0.4457756556543014,100000.0
24.0,1e+05 PFU,od,0.4058977842718503,100000.0
0.0,1e+05 PFU,pfu,133644.98368245657,100000.0
2.0,1e+05 PFU,pfu,4485197.32796054,100000.0
4.0,1e+05 PFU,pfu,2766940861.1017466,100000.0
6.0,1e+05 PFU,pfu,3460656987.6095343,100000.0
8.0,1e+05 PFU,pfu,3996611855.8300323,100000.0
10.0,1e+05 PFU,pfu,3404524718.479864,100000.0
12.0,1e+05 PFU,pfu,2967108444.9059505,100000.0
14.0,1e+05 PFU,pfu,2581535778.313899,100000.0
16.0,1e+05 PFU,pfu,2553019361.3641176,100000.0
18.0,1e+05 PFU,pfu,3625687368.6974716,100000.0
20.0,1e+05 PFU,pfu,3966000533.020419,100000.0
22.0,1e+05 PFU,pfu,3206506747.6321516,100000.0
24.0,1e+05 PFU,pfu,2711605692.2456756,100000.0
0.0,1e+07 PFU,cfu,5872369.529637163,10000000.0
2.0,1e+07 PFU,cfu,12569771.911792938,10000000.0
4.0,1e+07 PFU,cfu,2231.3647146118865,10000000.0
6.0,1e+07 PFU,cfu,12325.765772957226,10000000.0
8.0,1e+07 PFU,cfu,43775.784747126025,10000000.0
10.0,1e+07 PFU,cfu,428499.22479748377,10000000.0
12.0,1e+07 PFU,cfu,2149701.6156927026,10000000.0
14.0,1e+07 PFU,cfu,14235259.990150534,10000000.0
16.0,1e+07 PFU,cfu,64278749.96210441,10000000.0
18.0,1e+07 PFU,cfu,96434316.33449085,10000000.0
20.0,1e+07 PFU,cfu,105669064.89465724,10000000.0
22.0,1e+07 PFU,cfu,80862050.9846414,10000000.0
24.0,1e+07 PFU,cfu,120807221.1310168,10000000.0
0.0,1e+07 PFU,od,0.025850079582053907,10000000.0
2.0,1e+07 PFU,od,0.08928519150128711,10000000.0
4.0,1e+07 PFU,od,0.024927378399209284,10000000.0
6.0,1e+07 PFU,od,0.024057731779434283,10000000.0
8.0,1e+07 PFU,od,0.023931195604700244,10000000.0
10.0,1e+07 PFU,od,0.024318089234456365,10000000.0
12.0,1e+07 PFU,od,0.031614969636660974,10000000.0
14.0,1e+07 PFU,od,0.09055918803733716,10000000.0
16.0,1e+07 PFU,od,0.33477386170681406,10000000.0
18.0,1e+07 PFU,od,0.4543151234780232,10000000.0
20.0,1e+07 PFU,od,0.4908559486839013,10000000.0
22.0,1e+07 PFU,od,0.47212536152967843,10000000.0
24.0,1e+07 PFU,od,0.46182997179428886,10000000.0
0.0,1e+07 PFU,pfu,8252013.192227812,10000000.0
2.0,1e+07 PFU,pfu,328493431.3765874,10000000.0
4.0,1e+07 PFU,pfu,1268505019.1392863,10000000.0
6.0,1e+07 PFU,pfu,1514984583.7983277,10000000.0
8.0,1e+07 PFU,pfu,1184400119.397017,10000000.0
10.0,1e+07 PFU,pfu,1438662080.0594723,10000000.0
12.0,1e+07 PFU,pfu,1537420975.9833462,10000000.0
14.0,1e+07 PFU,pfu,1467658002.2853708,10000000.0
16.0,1e+07 PFU,pfu,768046126.9687781,10000000.0
18.0,1e+07 PFU,pfu,1489039825.7498047,10000000.0
20.0,1e+07 PFU,pfu,1264099375.1067393,10000000.0
22.0,1e+07 PFU,pfu,1283847158.4560995,10000000.0
24.0,1e+07 PFU,pfu,1271480808.49752,10000000.0
0.0,1e+09 PFU,cfu,5365257.584498427,1000000000.0
2.0,1e+09 PFU,cfu,372.6296007416771,1000000000.0
4.0,1e+09 PFU,cfu,1840.7983621964597,1000000000.0
6.0,1e+09 PFU,cfu,8697.25963841055,1000000000.0
